#	X1	L1(X1)	L2(X1)
  5.42000   7.59618   5.64583
  5.43000   7.59825   5.65625
  5.44000   7.60032   5.66667
  5.45000   7.60237   5.67708
  5.46000   7.60442   5.68750
  5.47000   7.60645   5.69792
  5.48000   7.60848   5.70833
  5.49000   7.61049   5.71875
  5.50000   7.61250   5.72917
  5.51000   7.61449   5.73958
  5.52000   7.61648   5.75000
  5.53000   7.61845   5.76042
  5.54000   7.62042   5.77083
  5.55000   7.62237   5.78125
  5.56000   7.62432   5.79167
  5.57000   7.62625   5.80208
  5.58000   7.62818   5.81250
  5.59000   7.63009   5.82292
  5.60000   7.63200   5.83333
  5.61000   7.63389   5.84375
  5.62000   7.63578   5.85417
  5.63000   7.63765   5.86458
  5.64000   7.63952   5.87500
  5.65000   7.64137   5.88542
  5.66000   7.64322   5.89583
  5.67000   7.64505   5.90625
  5.68000   7.64688   5.91667
  5.69000   7.64869   5.92708
  5.70000   7.65050   5.93750
  5.71000   7.65229   5.94792
  5.72000   7.65408   5.95833
  5.73000   7.65585   5.96875
  5.74000   7.65762   5.97917
  5.75000   7.65937   5.98958
  5.76000   7.66112   6.00000
  5.77000   7.66285   6.01042
  5.78000   7.66458   6.02083
  5.79000   7.66629   6.03125
  5.80000   7.66800   6.04167
  5.81000   7.66969   6.05208
  5.82000   7.67138   6.06250
  5.83000   7.67305   6.07292
  5.84000   7.67472   6.08333
  5.85000   7.67637   6.09375
  5.86000   7.67802   6.10417
  5.87000   7.67965   6.11458
  5.88000   7.68128   6.12500
  5.89000   7.68289   6.13542
  5.90000   7.68450   6.14583
  5.91000   7.68609   6.15625
  5.92000   7.68768   6.16667
  5.93000   7.68925   6.17708
  5.94000   7.69082   6.18750
  5.95000   7.69237   6.19792
  5.96000   7.69392   6.20833
  5.97000   7.69545   6.21875
  5.98000   7.69698   6.22917
  5.99000   7.69849   6.23958
  6.00000   7.70000   6.25000
  6.01000   7.70149   6.26042
  6.02000   7.70298   6.27083
  6.03000   7.70445   6.28125
  6.04000   7.70592   6.29167
  6.05000   7.70737   6.30208
  6.06000   7.70882   6.31250
  6.07000   7.71025   6.32292
  6.08000   7.71168   6.33333
  6.09000   7.71309   6.34375
  6.10000   7.71450   6.35417
  6.11000   7.71589   6.36458
  6.12000   7.71728   6.37500
  6.13000   7.71865   6.38542
  6.14000   7.72002   6.39583
  6.15000   7.72137   6.40625
  6.16000   7.72272   6.41667
  6.17000   7.72405   6.42708
  6.18000   7.72538   6.43750
  6.19000   7.72669   6.44792
  6.20000   7.72800   6.45833
  6.21000   7.72929   6.46875
  6.22000   7.73058   6.47917
  6.23000   7.73185   6.48958
  6.24000   7.73312   6.50000
  6.25000   7.73437   6.51042
  6.26000   7.73562   6.52083
  6.27000   7.73685   6.53125
  6.28000   7.73808   6.54167
  6.29000   7.73929   6.55208
  6.30000   7.74050   6.56250
  6.31000   7.74169   6.57292
  6.32000   7.74288   6.58333
  6.33000   7.74405   6.59375
  6.34000   7.74522   6.60417
  6.35000   7.74637   6.61458
  6.36000   7.74752   6.62500
  6.37000   7.74865   6.63542
  6.38000   7.74978   6.64583
  6.39000   7.75089   6.65625
  6.40000   7.75200   6.66667
  6.41000   7.75309   6.67708
  6.42000   7.75418   6.68750
  6.43000   7.75525   6.69792
  6.44000   7.75632   6.70833
  6.45000   7.75737   6.71875
  6.46000   7.75842   6.72917
  6.47000   7.75945   6.73958
  6.48000   7.76048   6.75000
  6.49000   7.76149   6.76042
  6.50000   7.76250   6.77083
  6.51000   7.76349   6.78125
  6.52000   7.76448   6.79167
  6.53000   7.76545   6.80208
  6.54000   7.76642   6.81250
  6.55000   7.76737   6.82292
  6.56000   7.76832   6.83333
  6.57000   7.76925   6.84375
  6.58000   7.77018   6.85417
  6.59000   7.77109   6.86458
  6.60000   7.77200   6.87500
  6.61000   7.77289   6.88542
  6.62000   7.77378   6.89583
  6.63000   7.77465   6.90625
  6.64000   7.77552   6.91667
  6.65000   7.77637   6.92708
  6.66000   7.77722   6.93750
  6.67000   7.77805   6.94792
  6.68000   7.77888   6.95833
  6.69000   7.77969   6.96875
  6.70000   7.78050   6.97917
  6.71000   7.78129   6.98958
  6.72000   7.78208   7.00000
  6.73000   7.78285   7.01042
  6.74000   7.78362   7.02083
  6.75000   7.78437   7.03125
  6.76000   7.78512   7.04167
  6.77000   7.78585   7.05208
  6.78000   7.78658   7.06250
